## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[SRR13973721.RG.bam] OUTPUT=SRR13973721.markdup.bam METRICS_FILE=SRR13973721.metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_DUP_STRATEGY=FLOW_QUALITY_SUM_STRATEGY FLOW_USE_END_IN_UNPAIRED_READS=false FLOW_USE_UNPAIRED_CLIPPED_END=false FLOW_UNPAIRED_END_UNCERTAINTY=0 FLOW_UNPAIRED_START_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Nov 15 22:23:32 MST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	94	7379616	325800	112	66	3358234	0	0.455071	5395561

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	2875535	2875535
2.0	1.254687	576215	576215
3.0	1.319552	200919	200919
4.0	1.336073	111944	111944
5.0	1.34028	71641	71641
6.0	1.341352	48085	48085
7.0	1.341625	33393	33393
8.0	1.341694	23344	23344
9.0	1.341712	16901	16901
10.0	1.341717	12716	12716
11.0	1.341718	9320	9320
12.0	1.341718	6920	6920
13.0	1.341718	5420	5420
14.0	1.341718	4189	4189
15.0	1.341718	3292	3292
16.0	1.341718	2755	2755
17.0	1.341718	2338	2338
18.0	1.341718	1853	1853
19.0	1.341718	1628	1628
20.0	1.341718	1312	1312
21.0	1.341718	1169	1169
22.0	1.341718	1037	1037
23.0	1.341718	824	824
24.0	1.341718	826	826
25.0	1.341718	636	636
26.0	1.341718	601	601
27.0	1.341718	542	542
28.0	1.341718	458	458
29.0	1.341718	404	404
30.0	1.341718	334	334
31.0	1.341718	361	361
32.0	1.341718	290	290
33.0	1.341718	299	299
34.0	1.341718	247	247
35.0	1.341718	222	222
36.0	1.341718	203	203
37.0	1.341718	195	195
38.0	1.341718	194	194
39.0	1.341718	168	168
40.0	1.341718	159	159
41.0	1.341718	148	148
42.0	1.341718	103	103
43.0	1.341718	115	115
44.0	1.341718	111	111
45.0	1.341718	107	107
46.0	1.341718	91	91
47.0	1.341718	89	89
48.0	1.341718	77	77
49.0	1.341718	78	78
50.0	1.341718	82	82
51.0	1.341718	90	90
52.0	1.341718	70	70
53.0	1.341718	57	57
54.0	1.341718	51	51
55.0	1.341718	56	56
56.0	1.341718	45	45
57.0	1.341718	41	41
58.0	1.341718	42	42
59.0	1.341718	41	41
60.0	1.341718	39	39
61.0	1.341718	44	44
62.0	1.341718	34	34
63.0	1.341718	26	26
64.0	1.341718	38	38
65.0	1.341718	36	36
66.0	1.341718	33	33
67.0	1.341718	24	24
68.0	1.341718	25	25
69.0	1.341718	25	25
70.0	1.341718	25	25
71.0	1.341718	29	29
72.0	1.341718	31	31
73.0	1.341718	32	32
74.0	1.341718	18	18
75.0	1.341718	16	16
76.0	1.341718	12	12
77.0	1.341718	17	17
78.0	1.341718	16	16
79.0	1.341718	12	12
80.0	1.341718	16	16
81.0	1.341718	11	11
82.0	1.341718	10	10
83.0	1.341718	11	11
84.0	1.341718	15	15
85.0	1.341718	11	11
86.0	1.341718	12	12
87.0	1.341718	5	5
88.0	1.341718	12	12
89.0	1.341718	13	13
90.0	1.341718	10	10
91.0	1.341718	7	7
92.0	1.341718	8	8
93.0	1.341718	11	11
94.0	1.341718	8	8
95.0	1.341718	6	6
96.0	1.341718	7	7
97.0	1.341718	6	6
98.0	1.341718	5	5
99.0	1.341718	7	7
100.0	1.341718	7	7
101.0	0	7	7
102.0	0	10	10
103.0	0	7	7
104.0	0	7	7
105.0	0	5	5
106.0	0	10	10
107.0	0	5	5
108.0	0	7	7
109.0	0	3	3
110.0	0	2	2
111.0	0	3	3
112.0	0	4	4
113.0	0	5	5
114.0	0	1	1
115.0	0	4	4
116.0	0	8	8
117.0	0	9	9
118.0	0	3	3
119.0	0	3	3
120.0	0	1	1
121.0	0	3	3
123.0	0	4	4
124.0	0	2	2
125.0	0	4	4
126.0	0	3	3
127.0	0	4	4
128.0	0	3	3
129.0	0	2	2
130.0	0	3	3
131.0	0	2	2
132.0	0	2	2
133.0	0	2	2
134.0	0	1	1
135.0	0	2	2
136.0	0	5	5
137.0	0	3	3
139.0	0	1	1
140.0	0	4	4
141.0	0	1	1
143.0	0	2	2
144.0	0	1	1
145.0	0	5	5
146.0	0	2	2
147.0	0	2	2
148.0	0	2	2
149.0	0	1	1
150.0	0	4	4
151.0	0	2	2
152.0	0	3	3
154.0	0	2	2
156.0	0	1	1
157.0	0	2	2
158.0	0	2	2
161.0	0	3	3
166.0	0	4	4
167.0	0	1	1
169.0	0	3	3
173.0	0	1	1
174.0	0	2	2
175.0	0	3	3
177.0	0	1	1
178.0	0	2	2
179.0	0	1	1
180.0	0	1	1
181.0	0	2	2
183.0	0	1	1
184.0	0	1	1
185.0	0	1	1
187.0	0	3	3
188.0	0	1	1
189.0	0	1	1
197.0	0	1	1
198.0	0	1	1
200.0	0	1	1
204.0	0	2	2
205.0	0	1	1
207.0	0	1	1
209.0	0	1	1
210.0	0	1	1
214.0	0	1	1
215.0	0	2	2
216.0	0	2	2
217.0	0	1	1
220.0	0	1	1
224.0	0	1	1
225.0	0	1	1
226.0	0	1	1
227.0	0	2	2
229.0	0	2	2
230.0	0	1	1
231.0	0	1	1
232.0	0	1	1
234.0	0	1	1
239.0	0	1	1
244.0	0	2	2
249.0	0	1	1
251.0	0	1	1
262.0	0	1	1
263.0	0	1	1
272.0	0	1	1
280.0	0	1	1
287.0	0	2	2
288.0	0	1	1
290.0	0	1	1
297.0	0	1	1
304.0	0	1	1
317.0	0	1	1
349.0	0	1	1
413.0	0	1	1
438.0	0	1	1
472.0	0	1	1
562.0	0	1	1
634.0	0	1	1
638.0	0	1	1
657.0	0	1	1

